,name,Pros,Cons
78,Xcel Energy,"['""Pay scale is comparable to other companies and good benefits."" (in 80 reviews)', '""tons of over time and good pay"" (in 68 reviews)', '""Great people and very stable"" (in 68 reviews)', '""Generally competitive in salaries and good benefits."" (in 18 reviews)', '""401k and pension starts the day you are hired on as full time for non"" (in 17 reviews)']","['""Some departments have bad management"" (in 32 reviews)', '""And no, the majority of Xcel\'s employees do not receive stock...but Senior Leadership does."" (in 26 reviews)', '""Certain upper management."" (in 18 reviews)', '""No training or ability to attend training or travel"" (in 16 reviews)', '""I had the same job for 2 years and 5 managers located in 2 states."" (in 15 reviews)']"
79,O'Reilly Automotive,"['""People were great and it suited the hours needed to compliment my full time job."" (in 187 reviews)', '""Good benefits and 401k."" (in 149 reviews)', '""Flexible Hours and easy to work around scheduling"" (in 76 reviews)', '""The company has a great culture which 95% of their people really live and breathe every day!"" (in 61 reviews)', '""The coworkers are great and remote working during covid has been good"" (in 55 reviews)']","['""Pay is low for the amount of work that we need to accomplish on a daily basis."" (in 406 reviews)', '""There are also some areas that have high turn rate for employees (usually a sign of poor management)"" (in 178 reviews)', '""Corporate and upper management were a nightmare"" (in 90 reviews)', '""Store managers don\'t work the 55 hour workweek as is promised; I currently work 70"" (in 73 reviews)', '""They keep promising promotions and never give and then use you anyway they can for hours but no raise."" (in 53 reviews)']"
80,Global Partners,"['""good benefits for all employees"" (in 11 reviews)', '""family oriented Company advancement competitive pay"" (in 7 reviews)', '""The people at Global are the high point: nice, honest, people who like to have fun and take pride in their work."" (in 7 reviews)', '""The salary is good in most cases."" (in 6 reviews)', '""Some great people, able to learn a lot, and there is a lot of opportunity"" (in 4 reviews)']","['""Management here is awful."" (in 7 reviews)', '""Too many gaps depending on who did the actual training."" (in 6 reviews)', '""If they would hire upper management that has knowledge in the industry, and allow these people to guide the staff, maybe then they could keep employees."" (in 5 reviews)', '""Only as flexible with work life balance as they have to be."" (in 3 reviews)', '""Good managers/supervisors leave because they see the institutional favoritism and internal politics and realize they will never get anywhere."" (in 3 reviews)']"
81,Discover Financial Services,"['""Great benefits and 401k."" (in 521 reviews)', '""The people I work with are great; I have never had a problem with a co"" (in 236 reviews)', '""Good work/life balance depending on team"" (in 227 reviews)', '""Great culture and values!"" (in 205 reviews)', '""The pay is good for those who are willing to work hard and earn it."" (in 171 reviews)']","['""Management at senior manager and supervisor levels is poor in certain departments."" (in 144 reviews)', '""Some managers are great and some are a work in progress but I think that\'s true everywhere"" (in 90 reviews)', '""Low salary compared to other financial organization"" (in 63 reviews)', '""Blatant favoritism and a total disregard for workplace civility are traits that are often on display by management."" (in 37 reviews)', '""Unfortunately, the reorganization caused a lot of unhappiness from poor upper management placement and decisions"" (in 36 reviews)']"
82,Rocket Companies,"['""Great culture and very fast"" (in 419 reviews)', '""The benefits are great and it pays well enough for the level of work I am expected to know and do."" (in 366 reviews)', '""Great pay and you have the abulity to choose your path"" (in 222 reviews)', '""Great people that are fun to work with!"" (in 199 reviews)', '""Training was great to get you to pass the safe test but after that it was on the job training."" (in 163 reviews)']","['""Long hours and for me it was a long drive 25 miles and with that being said traffic would be heavy back and forth"" (in 317 reviews)', '""There is no work/life balance with 55+ mandatory hours and many employees struggle to be family oriented while pursuing this career."" (in 306 reviews)', '""Super long hours."" (in 98 reviews)', '""Micro management on a whole other level"" (in 71 reviews)', '""Less salary is the only disadvantage"" (in 43 reviews)']"
83,LKQ,"['""good benefits, senior mangement keeps in touch with entire corporation"" (in 66 reviews)', '""great people to be around and work with"" (in 44 reviews)', '""Good Work/Life balance"" (in 22 reviews)', '""Good work environment."" (in 19 reviews)', '""Good coworkers and being by yourself most of the day is nice if you enjoy that kind of independance."" (in 16 reviews)']","['""Poor management, don’t care about family"" (in 66 reviews)', '""It\'s low pay so there is that"" (in 31 reviews)', '""Awful upper management."" (in 21 reviews)', '""Low salary compared to industry Bureau of Labor and Statistics"" (in 18 reviews)', '""Managers are horrible, they try to micro manage, you will never advance unless you are a special \'pet\' of the manager."" (in 18 reviews)']"
84,W.W. Grainger,,
85,Quanta Services,"['""Good benefits."" (in 12 reviews)', '""Good pay before convert it per hours."" (in 9 reviews)', '""Great people to work with but little chance for advancement"" (in 8 reviews)', '""Good work environment and culture"" (in 5 reviews)', '""Good money if busy enough"" (in 5 reviews)']","['""Many of the members of management are poor leaders and do not provide positive engagement with or role models for their subordinates."" (in 8 reviews)', '""Some poor managers, or lack of skills and knowledge in supervisor or manager roles"" (in 4 reviews)', '""No work life balance."" (in 4 reviews)', '""Lack of communication, lazy management, unethical practices"" (in 3 reviews)', '""IT Department middle management is very micro"" (in 2 reviews)']"
86,CrownHoldings,"['""Good benefits and retirement package"" (in 33 reviews)', '""Good pay and some of the people aren\'t so bad"" (in 25 reviews)', '""The people are great and there is a lovely feel in the office and site generally."" (in 15 reviews)', '""Good Salaries and Benefits"" (in 7 reviews)', '""I learned a lot and gained knowledge to help move me forward in my career."" (in 5 reviews)']","['""Bad management."" (in 13 reviews)', '""Average communication with upper level management with minimal impact."" (in 7 reviews)', '""Too much corporate leadership"" (in 5 reviews)', '""3. Training is fairly good for on boarding new hires as far as the long term training of all topics."" (in 4 reviews)', '""There is a lack of diversity among those in key, senior leadership positions."" (in 4 reviews)']"
87,Fox,,
88,Sempra,"['""The compensation is commensurate with that of a large public company and the benefits are great."" (in 33 reviews)', '""Great people to socialize and learn from outside the company."" (in 13 reviews)', '""good work life balance; top tier co"" (in 11 reviews)', '""The pay is good"" (in 9 reviews)', '""Good salary and benefit."" (in 9 reviews)']","['""Growth is a problem, seems folks are always overlooked by management."" (in 5 reviews)', '""5 work culture, working remote not valued."" (in 5 reviews)', '""Senior management is completely out of touch with the employees."" (in 4 reviews)', '""Managers and directors are always stressed out."" (in 3 reviews)', '""incompetent managers and lack of communication"" (in 3 reviews)']"
89,Markel,"['""Worked at Markel for several years and very grateful to do so...culture and benefits were very good."" (in 23 reviews)', '""Great people to work with"" (in 21 reviews)', '""Great culture of innovation and transformation"" (in 18 reviews)', '""Work Life Balance is great"" (in 13 reviews)', '""Great bonus provided each year"" (in 9 reviews)']","['""Poor Management"" (in 16 reviews)', '""low pay, micro"" (in 13 reviews)', '""Not the most competitive salaries."" (in 10 reviews)', '""felt isolated due to lack of diversity"" (in 6 reviews)', '""There are few opportunities for advancement within a particular department, constant restructuring, and very few opportunities to move around within the company."" (in 5 reviews)']"
90,Carvana,"['""The benefits are great and they are very inclusive."" (in 256 reviews)', '""The pay is good & the hours are long but it’s fun"" (in 120 reviews)', '""people are great and really show the values that the company is about"" (in 92 reviews)', '""The culture was great and everyone enjoyed the others they worked with"" (in 87 reviews)', '""Lots of schedule options, coworkers are all great"" (in 40 reviews)']","['""Poor management with little understanding about the work itself and poor training"" (in 147 reviews)', '""Poor Training: There’s a web article database we use to reference our policies but Team Leads are allowed to break them whenever it seems."" (in 57 reviews)', '""You will never get out of work on time and will have no work life balance because things never go as planned."" (in 49 reviews)', '""Lack of guidance and leadership."" (in 36 reviews)', '""poor communication between senior management and middle management"" (in 36 reviews)']"
91,XPO Logistics,"['""Pay is good and lots of hours"" (in 317 reviews)', '""Good benefits and 401k."" (in 274 reviews)', '""He people I work with are great and I enjoy the challenge of my job."" (in 228 reviews)', '""Great opportunities for career growth and development at all levels including established apprenticeship and graduate schemes!"" (in 86 reviews)', '""Great culture and values."" (in 84 reviews)']","['""There poor management instead of motivating employee they actually demotivate them to work and actually unfairly steal sales away from employees."" (in 270 reviews)', '""Fast paced environment and long hours (in some areas) may not be for everyone."" (in 131 reviews)', '""Poor work life balance and no room to grow"" (in 109 reviews)', '""Arrogant and Incompetent Managers, who just knows to dump all the task at once and assumes their subordinates to finish all at once."" (in 75 reviews)', '""Lack of upper management."" (in 68 reviews)']"
92,Baxter International,"['""The benefits are good (they used to be better but they are still good)."" (in 313 reviews)', '""Great people and products that are wonderful to sell and represent."" (in 207 reviews)', '""good work life balance and pretty got pay packages"" (in 130 reviews)', '""The pay is good and is very competitive"" (in 130 reviews)', '""Great Culture and Flexibility"" (in 95 reviews)']","['""Dishonest management and poor cultural atmosphere."" (in 159 reviews)', '""Senior Leadership is new and unexperienced"" (in 52 reviews)', '""there are some bad managers"" (in 49 reviews)', '""Clandestine upper management."" (in 48 reviews)', '""Long hours and night shift"" (in 30 reviews)']"
93,Ecolab,"['""The benefits are good and the work schedule is fairly flexible."" (in 329 reviews)', '""People are great and helpful for the most part."" (in 188 reviews)', '""The pay was good but could use more insenitives to better help the employees and the Company as a whole."" (in 172 reviews)', '""Culture is great!"" (in 101 reviews)', '""Great opportunities to move up and stay within the company."" (in 49 reviews)']","['""No work life balance and over work"" (in 172 reviews)', '""Poor management, not careful about talents"" (in 149 reviews)', '""If you start without experience and a low salary you will never realy achieve a substantial income."" (in 81 reviews)', '""Long hours and weekends."" (in 80 reviews)', '""The current District Managers don\'t work with their employees."" (in 72 reviews)']"
94,Tractor Supply,,
95,The Andersons,"['""The people there are great."" (in 19 reviews)', '""Profit sharing, benefits from day 1, good benefits"" (in 13 reviews)', '""There is good pay here"" (in 11 reviews)', '""Excellent culture!"" (in 9 reviews)', '""Flexible scheduling..family oriented"" (in 5 reviews)']","['""Some people (few but some) don\'t work at all and management gives them far to many chances"" (in 5 reviews)', '""Communication is horrible from upper management"" (in 4 reviews)', '""Long hours sometimes, especially through harvest"" (in 4 reviews)', '""Not great pay, n pay raises arent enough"" (in 4 reviews)']"
96,Keurig Dr Pepper,"['""It has good benefits and close to my house"" (in 100 reviews)', '""good pay good over time"" (in 88 reviews)', '""The people are great!"" (in 67 reviews)', '""Great culture and they really make"" (in 18 reviews)', '""The salaries are competitive"" (in 14 reviews)']","['""not much on bad things...some poor management"" (in 63 reviews)', '""Merger restructuring underway as HQ moves to TX. Working in operations provides no work life balance."" (in 28 reviews)', '""Long hours and stressfull."" (in 23 reviews)', '""Managers give you 9"" (in 22 reviews)', '""Management! Poor leadership!"" (in 19 reviews)']"
97,Universal Health Services,"['""Benefits are good and reasonably priced."" (in 80 reviews)', '""My department has great coworkers"" (in 42 reviews)', '""Great people and place to work"" (in 41 reviews)', '""Great staff and team players"" (in 29 reviews)', '""UHS pays Very competitive salaries."" (in 21 reviews)']","['""High turn over rate due to poor management."" (in 59 reviews)', '""Pay is low and staffing is at times too low."" (in 55 reviews)', '""Long hours and experiencing burn"" (in 17 reviews)', '""Poor upper management."" (in 16 reviews)', '""Not being able to work from home"" (in 14 reviews)']"
98,CSX,"['""Good benefits for family and retirement"" (in 212 reviews)', '""not terrible; pretty good pay"" (in 187 reviews)', '""Great Retirement and job is fun"" (in 56 reviews)', '""And peers are good people"" (in 56 reviews)', '""money is good health is ok for now"" (in 32 reviews)']","['""poor management..being on call your whole career."" (in 84 reviews)', '""No work/life balance( expected to work overtime every week on salary)"" (in 42 reviews)', '""long hours and away from home"" (in 32 reviews)', '""Rules are subject to interpritation and what is acceptable to one manager may not be to the next so your never comfortable with what your doing and spend more time worried about wether or not a manager is watching you with night vision than about doing your job and staying alive."" (in 23 reviews)', '""We are threatened weekly with a new notice or mailing to our homes about taking any time off."" (in 20 reviews)']"
99,Henry Schein,"['""The benefits are great"" (in 134 reviews)', '""There are a lot of really great people who care about how their contributions impact the company."" (in 113 reviews)', '""Henry Schein has a great culture and provides a work"" (in 76 reviews)', '""Great work life balance and the co"" (in 41 reviews)', '""Excellent training for a new employees and very good continuous training & development if required."" (in 23 reviews)']","['""Poor management in HR"" (in 63 reviews)', '""Low pay and a changing industry"" (in 41 reviews)', '""There is also a massive lack of communication between the field level and middle to upper management."" (in 25 reviews)', '""Salary was low but it was an internship."" (in 22 reviews)', '""Managers have no power."" (in 20 reviews)']"
