,name,Pros,Cons
36,Corteva,"['""Benefits are good."" (in 52 reviews)', '""Work life balance is good"" (in 43 reviews)', '""Pay is good"" (in 40 reviews)', '""Met some great people in this industry"" (in 34 reviews)', '""life balance, good salary"" (in 23 reviews)']","['""There are no metrics to track over/underachievers and that applies to management as well."" (in 23 reviews)', '""Poor leadership."" (in 9 reviews)', '""Managers and Directors don\'t hold one another accountable."" (in 7 reviews)', '""Long hours depending on season"" (in 5 reviews)', '""offs can and do occur and some years you may not get your full bonus."" (in 3 reviews)']"
37,Fidelity National Financial,"['""They are not afraid to pay for performance and the benefits are good."" (in 35 reviews)', '""Work life balance is good"" (in 31 reviews)', '""Great people to work with"" (in 23 reviews)', '""Good pay for night shift"" (in 17 reviews)', '""Free transport and food."" (in 16 reviews)']","['""Management was poor."" (in 43 reviews)', '""salary is less"" (in 29 reviews)', '""Good manager pushed out in January and now mass firings are routine."" (in 17 reviews)', '""No training is provided to enhance your skills."" (in 11 reviews)', '""Upper management was just absent, meaning not involved with day to day."" (in 11 reviews)']"
38,DTEEnergy,"['""Good pay and it is remote work"" (in 79 reviews)', '""good benefits and security for future"" (in 58 reviews)', '""good people and fun times"" (in 53 reviews)', '""Corporate culture is great"" (in 30 reviews)', '""It\'s a very stable company and with excellent job security."" (in 22 reviews)']","['""Poor management and too much politics"" (in 30 reviews)', '""Some of the managers do not give enough responsibilities to students."" (in 9 reviews)', '""Bad Supervisors"" (in 9 reviews)', '""Senior management is a mixed bag."" (in 7 reviews)', '""Upper management seems to have some clear ideas on how to improve the company, but it sometimes feels as though that gets lost in translation at mid"" (in 4 reviews)']"
39,Murphy USA,"['""Good benefits"" (in 10 reviews)', '""1. Coworkers are friendly and help out."" (in 8 reviews)', '""Great people to work for"" (in 8 reviews)', '""Flexible Schedule when trying to pursue school"" (in 5 reviews)', '""Great culture and consistent Core Values"" (in 5 reviews)']","['""Low pay but doing a lot of work"" (in 20 reviews)', '""Long hours without a break"" (in 12 reviews)', '""No work life balance."" (in 9 reviews)', '""Work you 14 hours with out a break, corporate management has no idea how to run a store, scheduling was an absolute nightmare"" (in 8 reviews)', '""You could have a great manager or a terrible manager (Store Manager, District Manager, Division Manager, ALL managers) and as such, your experience varies greatly even just by the store you\'re in."" (in 7 reviews)']"
40,Halliburton,"['""Benefits are good and if you work in the field they provided food and shelter."" (in 552 reviews)', '""Good pay when oil prices are high"" (in 331 reviews)', '""The people you work around are great people that will go well beyond to help you learn your job."" (in 255 reviews)', '""The company gave me great training and tons of valuable experience which have really helped my career."" (in 164 reviews)', '""Salary is good and acceptable"" (in 157 reviews)']","['""And poor management again"" (in 234 reviews)', '""Long hours and a lot of work ( I expected this and have no problem with it)"" (in 196 reviews)', '""No work Life Balance\' Pay continues to be dropped seems on a monthly basis."" (in 156 reviews)', '""Frequent layoffs due to oil and gas industry instability."" (in 112 reviews)', '""They need to have more in place that keeps bad managers from stopping their employees growth."" (in 81 reviews)']"
41,Automatic Data Processing,"['""Great benefits and longevity with a company who\'s credit rating always renamed above the entire country itself."" (in 1227 reviews)', '""Flexible and good work life balance"" (in 916 reviews)', '""You will feel like you have great support and people to guide you to where you need to be."" (in 730 reviews)', '""Been working for Adp going 3 years now and the culture is great.. the managers especially mine is very suportive"" (in 706 reviews)', '""Very flexible and good pay"" (in 527 reviews)']","['""Management is poor and deceitful"" (in 574 reviews)', '""Bad managers (hiring managers with no technical skills."" (in 352 reviews)', '""Middle and upper management had too much change in personnel and directions. it was very discouraged and confusion."" (in 123 reviews)', '""Hours are long and unflexible"" (in 119 reviews)', '""They have blackout months at the end of the year that you cannot take time off during"" (in 92 reviews)']"
42,Edison International,,
43,BorgWarner,"['""Great people to work with and extreme willingness to help you grow if you show interest and the want to improve."" (in 74 reviews)', '""Benefits are good"" (in 66 reviews)', '""Pay is good and you keep busy"" (in 44 reviews)', '""good work life balance and learning"" (in 28 reviews)', '""Salaries are good"" (in 28 reviews)']","['""Poor management training."" (in 42 reviews)', '""Long Hours and old fashion policies."" (in 12 reviews)', '""employees get fired for no good reason and is dependent on the manager"" (in 12 reviews)', '""Upper Management was bad at their jobs"" (in 10 reviews)', '""Poor communication between different locations and business units."" (in 9 reviews)']"
44,Nordstrom,"['""Great benefits and it’s great having the liberty to be able to manage your own team and department"" (in 1256 reviews)', '""When you work for stock and web department the job is usually Independent and good pay"" (in 1234 reviews)', '""The people are great and its one of the best retail environments out there depending on the store"" (in 1067 reviews)', '""I had great coworkers and we were able to make the day to day processes better than some other jobs of similar nature"" (in 549 reviews)', '""comfortable and fun work environment"" (in 352 reviews)']","['""Poor management and not professional"" (in 1116 reviews)', '""Most managers don\'t care and will issue a return even if it is a sketchy or fraudulent activity."" (in 938 reviews)', '""Long hours on your feet and most days you aren\'t able to wear comfortable shoes"" (in 744 reviews)', '""When it\'s slow you can\'t make commission and your check ends up being a joke"" (in 595 reviews)', '""There is absolutely no work life balance at any level than a store manager and above."" (in 512 reviews)']"
45,Loews,,
