,name,Pros,Cons
0,Ovintiv,"['""Great Benefits and pension plan to go along with stock options."" (in 54 reviews)', '""Most of the people are great"" (in 46 reviews)', '""Work life balance is great"" (in 30 reviews)', '""The pay was good and so were the management and fellow employees."" (in 24 reviews)', '""Excellent culture; collaboration is the norm and everyone is expected to respect and value other disciplines"" (in 13 reviews)']","['""Frequent Layoffs"" (in 22 reviews)', '""The Tradesmen are always suspicious of management."" (in 14 reviews)', '""Incompetent and arrogant Leadership."" (in 13 reviews)', '""HR advisors are a joke,just a mouth piece for bad managers."" (in 11 reviews)', '""Upper management was changed and jobs were eliminated and restructured to care of the young, less experienced and lower cost employees"" (in 6 reviews)']"
1,UFP Industries,"['""Great people to work with"" (in 14 reviews)', '""Good benefits"" (in 12 reviews)', '""Good pay and upward movement"" (in 10 reviews)', '""Culture is good for hard working persons."" (in 9 reviews)', '""Opportunities consistent hours overtime pay"" (in 6 reviews)']","['""Poor management communication."" (in 7 reviews)', '""Upper management isn\'t always very effecient"" (in 4 reviews)', '""Corporate culture depending on the department, long hours."" (in 3 reviews)', '""Strong office politics and favoritism, low overall pay, try to make up for it with bonus."" (in 3 reviews)', '""Management is poor with bad communication"" (in 3 reviews)']"
2,Ulta Beauty,"['""Another great benefit of working at Ulta is the benefit of 25% off of all items sold at Ulta (including perfume and prestige items)."" (in 358 reviews)', '""Not hard to get a hang of and the people you work with are probably great."" (in 336 reviews)', '""I have great coworkers and that\'s pretty much the only thing keeping me here."" (in 315 reviews)', '""Fun work environment and perks"" (in 152 reviews)', '""free product often from Ulta and three times yearly from Clinique (Plus extras once and a while)"" (in 149 reviews)']","['""Poor management and they want you to bother shoppers in the store and try to get them in your chair."" (in 749 reviews)', '""The pay is low and doesn’t really equal to the sheer amount of work that you do."" (in 693 reviews)', '""The managers have all formed their own cliques and if you\'re not part of that they resemble mean girls."" (in 471 reviews)', '""long hours and working 6 hrs"" (in 318 reviews)', '""there is almost no training and you almost never get gratis that you are promised when you do get training;"" (in 282 reviews)']"
3,Constellation Brands,"['""There was some good benefits and the wine and beer brands are great!"" (in 51 reviews)', '""The people are great and easy to make a lot of friends since the company is so large."" (in 47 reviews)', '""Awesome industry and great culture"" (in 25 reviews)', '""Pay is decent."" (in 20 reviews)', '""great company culture and people"" (in 13 reviews)']","['""Management was terrible."" (in 21 reviews)', '""Absolutely NO work life balance."" (in 14 reviews)', '""Not a lot of interaction/communication with upper management."" (in 13 reviews)', '""The organization I am part of has poor leadership, a lack of direction and an absolute unwillingness to address day to day issues."" (in 9 reviews)', '""Current Senior Management is very political."" (in 7 reviews)']"
4,Expedia Group,"['""Great benefits and they are great about promoting from within."" (in 683 reviews)', '""Very flexible and good work life balance."" (in 642 reviews)', '""Great Team and People."" (in 512 reviews)', '""Great culture and moral."" (in 338 reviews)', '""Lot\'s of challenge and good pay!"" (in 142 reviews)']","['""Poor management within the HR function and a tendency to be focused on costs v. results."" (in 205 reviews)', '""Bad Managers makes a bad company and that\'s it!"" (in 133 reviews)', '""Lack of direction from senior leadership"" (in 112 reviews)', '""Upper management very political and they promote their known people."" (in 58 reviews)', '""No training on the system"" (in 46 reviews)']"
5,CommScope Holding,"['""Work Life Balance is good"" (in 54 reviews)', '""People are great and are all up to the challenge to build the company"" (in 54 reviews)', '""They have good benefits and competetive salaries.They have functions for the employees throughout the year which is very good for team building."" (in 52 reviews)', '""Pay was good"" (in 44 reviews)', '""Good salary and people to socialize with"" (in 25 reviews)']","['""Poor management"" (in 45 reviews)', '""Frequent layoffs which rarely reflect value of individual contributors."" (in 16 reviews)', '""Upper Management does not listen to the field team"" (in 11 reviews)', '""there is no direction or leadership in the company"" (in 11 reviews)', '""CommScope could offer a more competitive benefits package."" (in 4 reviews)']"
6,Celanese,"['""Vacation and the benefits good"" (in 49 reviews)', '""Good pay and wide"" (in 39 reviews)', '""The people were great and nice!"" (in 32 reviews)', '""great culture and environment overall"" (in 16 reviews)', '""Good work life balance"" (in 13 reviews)']","['""Some management have no knowledge of the daily tasks that their team does."" (in 16 reviews)', '""No bonuses for most people."" (in 10 reviews)', '""Many mixed signals and a few bad managers allowed to continue poor management tactics is hard to watch or work around."" (in 10 reviews)', '""Poor leadership and you are treated basically as a contractor."" (in 8 reviews)', '""Short staffed and the upper management is bias"" (in 7 reviews)']"
7,Global Payments,"['""Benefits are good but of course you will pay for it"" (in 74 reviews)', '""Great people that really want to create value and care about doing a good job."" (in 58 reviews)', '""Good work/life balance (depending on your leadership)"" (in 31 reviews)', '""Good environment and culture."" (in 27 reviews)', '""Many on the teams are great at what they do and put in quite a bit of effort."" (in 16 reviews)']","['""Management is poor."" (in 45 reviews)', '""The pay is low and you may have to work short staffed due to high turnover."" (in 26 reviews)', '""Salary is not competitive."" (in 18 reviews)', '""Poor leadership has caused disruption to multiple business units over the last 3 years."" (in 13 reviews)', '""upper management is disconnected from the people that are actually making the company money."" (in 12 reviews)']"
8,Owens Corning,"['""Good pay and can make alit of ot money"" (in 88 reviews)', '""Benefits were good and they paid us to stick around while we trained contact employees to take our jobs."" (in 55 reviews)', '""Great people in the organization from top to bottom and many of its employees have been with the company 10+ years"" (in 51 reviews)', '""Great culture and global exposure."" (in 28 reviews)', '""good work life balance in the department"" (in 22 reviews)']","['""Really bad employee retention due to bad management."" (in 21 reviews)', '""Oregon plants had pretty good leadership and were fun places to work with good teams."" (in 16 reviews)', '""Long hours and you never really get to \'leave\' work."" (in 11 reviews)', '""bad manager"" (in 10 reviews)', '""Little upward movement, upper management not always clear on expectations and seem to care about their progress then that of employees."" (in 9 reviews)']"
9,Campbell Soup,"['""Great people and they are all willing to help you out with all the jobs"" (in 99 reviews)', '""The pay is good for the region and the little extra\'s like half day Friday\'s in the summer go a long way."" (in 97 reviews)', '""benefits are good and 401k"" (in 91 reviews)', '""Good work life balance"" (in 54 reviews)', '""Great culture and care about employee satisfaction"" (in 40 reviews)']","['""Poor management leads to slow progress and innovation"" (in 42 reviews)', '""Upper management is blind to actual issues in the field, and operation/production team is not top notch."" (in 19 reviews)', '""No investment in “people”...they continue to fill every senior leadership position (Sales and Marketing) with outside hires that continue to flop."" (in 19 reviews)', '""bad manager"" (in 13 reviews)', '""Layoffs are frequent and so job security stress is not helpful"" (in 10 reviews)']"
10,Huntsman,"['""Good benefits and very appreciated"" (in 54 reviews)', '""Good People to work with"" (in 34 reviews)', '""Good work life balance"" (in 31 reviews)', '""Good environment and culture"" (in 22 reviews)', '""Good salary and office environment"" (in 21 reviews)']","['""Horrible company and poor management."" (in 30 reviews)', '""There are no trainings"" (in 10 reviews)', '""incompetent leadership, boring or stressful job"" (in 10 reviews)', '""Accountability seems to go out of the window and sadly, upper management is aware of these things but doesn\'t do anything to stop it."" (in 7 reviews)', '""Lack of job security since many divisions were sold in the past"" (in 7 reviews)']"
11,Franklin Resources,,
12,Avery Dennison,"['""The benefits are good and we get $325 a year for new safety boots and uniforms."" (in 104 reviews)', '""people were great plant was very clean"" (in 99 reviews)', '""Treat their employees very well and good pay"" (in 71 reviews)', '""Work life Balance was good"" (in 47 reviews)', '""Great culture and work experience"" (in 34 reviews)']","['""Poor Management and High turnover"" (in 49 reviews)', '""Low salaries and slow to innovate"" (in 27 reviews)', '""Poor leadership or lack"" (in 19 reviews)', '""upto 3 managers for less than 15 people per department."" (in 19 reviews)', '""Lack of vision by upper management"" (in 17 reviews)']"
13,Masco,"['""Benefits were good."" (in 35 reviews)', '""great people caring management al the way to the top"" (in 21 reviews)', '""Pay was decent for being a semi"" (in 12 reviews)', '""Great work culture and work/life balance"" (in 8 reviews)', '""Great culture, used to have an in"" (in 7 reviews)']","['""4) Management will lie to you in order to keep morale in that cushy spot between dissatisfaction and outright mutiny."" (in 11 reviews)', '""layoffs was always a concern"" (in 7 reviews)', '""bad upper management and horrible culture"" (in 5 reviews)', '""No leadership not as employee centric as the Manoogians were."" (in 5 reviews)', '""Corporate Senior Management do not appear to have a plan that will put the company back on a path of profitability and growth."" (in 3 reviews)']"
14,CenterPoint Energy,"['""Benefits are good and start on day 1"" (in 81 reviews)', '""And great people"" (in 50 reviews)', '""Pay was great"" (in 42 reviews)', '""Good work/life balance"" (in 22 reviews)', '""Great work environment."" (in 17 reviews)']","['""Poor management"" (in 23 reviews)', '""Better training!"" (in 8 reviews)', '""24 hour Service = Long Hours"" (in 8 reviews)', '""New CEO has a different style and is changing work life balance."" (in 8 reviews)', '""Now some managers are cool understanding helpful and laid back but then you have the ones who have something to prove."" (in 7 reviews)']"
15,Fifth Third Bancorp,"['""The benefits are good and finding internal promotions is easy to a point (see below)."" (in 369 reviews)', '""The pay is good and overtime"" (in 180 reviews)', '""Worked with some great people..... trained well unlike other banking institutions I have worked with."" (in 155 reviews)', '""And the work life balance was good for a financial services job."" (in 104 reviews)', '""Good training to start."" (in 69 reviews)']","['""Management is horrible and not worth it"" (in 152 reviews)', '""Upper management is disconnected from the branch level."" (in 78 reviews)', '""managers do not get proper training and guidance in operations and risk management."" (in 75 reviews)', '""Branch manager so hopefully you get a good one or else you will have a hard time."" (in 20 reviews)', '""Disturbingly, senior management and HR let the promotion go through."" (in 20 reviews)']"
16,WEC Energy Group,"['""Good benefits"" (in 13 reviews)', '""Good Pay"" (in 10 reviews)', '""Great people to work with."" (in 9 reviews)', '""My coworkers are great."" (in 8 reviews)', '""Good culture and leadership."" (in 3 reviews)']","['""Beginning to be populated with leadership that has no background in the business unit they are assigned to and no training is provided to them."" (in 6 reviews)', '""Management was always angry, pretended to be overworked and everyone was continually hounded by countless \'senior vice presidents of operations.\'"" (in 3 reviews)', '""Little job movement and much of the leadership has been with the company for 25 plus years allowing little advancement for new blood."" (in 3 reviews)', '""No work life balance or any concern about improving."" (in 3 reviews)']"
17,S&P Global,,
