,name,Pros,Cons
0,Sonic Automotive,"['""Great hours and benefits for the retail car industry"" (in 38 reviews)', '""Pay was good and the associates I worked with at the store level were great."" (in 29 reviews)', '""Some great people at the dealership"" (in 28 reviews)', '""Good training and earning potential"" (in 15 reviews)', '""Good money for lube tech."" (in 9 reviews)']","['""~ poor management"" (in 32 reviews)', '""Long hours and required to work on almost all holidays."" (in 31 reviews)', '""There is no work life balance"" (in 23 reviews)', '""The managers are lazy and when they get chewed out they take it out on the employees like it\'s our fault."" (in 17 reviews)', '""Pay is terrible, they play favoritism, upper management is nonexistent, hostile work environment, and most importantly untrust worthy"" (in 13 reviews)']"
1,eBay,"['""Some great people and some good out of office events"" (in 473 reviews)', '""Good benefits and very international"" (in 395 reviews)', '""Good work life balance for most people but honestly its cos no one is self motivated anymore."" (in 393 reviews)', '""Great culture and values."" (in 283 reviews)', '""All good and it was a good pay"" (in 167 reviews)']","['""Ebay will probably go out of business due to poor management left to make despotic rules unchecked."" (in 197 reviews)', '""A bad manager can make or break your experience."" (in 105 reviews)', '""Mismanagement and poor leadership which make wrong decisions and fail to realize it until its past due.."" (in 82 reviews)', '""terrible upper management leaves a lot to be desired"" (in 50 reviews)', '""long hours but overall decent"" (in 33 reviews)']"
2,Textron,"['""Good people and usually interesting work."" (in 66 reviews)', '""We were payed well and the benefits were good."" (in 48 reviews)', '""Good work/life balance but with the expectation that you can be called upon for nights/weekend work every once in a while."" (in 32 reviews)', '""Well structured company with good pay"" (in 31 reviews)', '""Good salary, time to sit back and relax."" (in 17 reviews)']","['""Poor management is the only thing I can complain of."" (in 28 reviews)', '""Endless, disruptive layoffs and job redirections without time for healing; corporate restructuring at least every 3"" (in 17 reviews)', '""Poor leadership and under paid"" (in 13 reviews)', '""upper management doesn\'t seem to want to listen."" (in 11 reviews)', '""Office politics gone mad."" (in 9 reviews)']"
3,Jones Financial (Edward Jones),"['""Great training and every time I called the home office there was someone to help me."" (in 345 reviews)', '""There are alot of benefits for working with a private company and the culture is great."" (in 222 reviews)', '""Great people and great working with branches"" (in 196 reviews)', '""benefits were good and the pay made you forget about the lack in support they had until you needed it"" (in 182 reviews)', '""Flexibility / Work life balance is great and you’re rewarded for the work you do."" (in 128 reviews)']","['""The pay is low but it is offset by the flexibility in schedule and internal support to do the job."" (in 134 reviews)', '""Starting salary is low and it will take 3 years of hard work before you make it"" (in 83 reviews)', '""long hours in the beginning as you build your business and integrate into your business community."" (in 63 reviews)', '""Micro management from HQ and no flexibility"" (in 39 reviews)', '""Antiquated methods, Long hours, can make more elsewhere, limited to what can be sold, is a sales job"" (in 28 reviews)']"
4,Community Health Systems,"['""Benefits were good st one time but no longer."" (in 76 reviews)', '""The people are great!"" (in 75 reviews)', '""Coworkers are great."" (in 30 reviews)', '""Good work Environment"" (in 18 reviews)', '""Local hospital employees are great"" (in 17 reviews)']","['""Since then the company has gone down hill and I had to leave due to poor management."" (in 98 reviews)', '""They tell you it you are hired and that the pay is low but you are getting so much experience."" (in 69 reviews)', '""Poor leadership and lack of vision"" (in 40 reviews)', '""Upper management awful."" (in 30 reviews)', '"".20 annual raise and low pay."" (in 28 reviews)']"
5,Mosaic,"['""The people are great."" (in 33 reviews)', '""Everyone is friendly and welcoming"" (in 20 reviews)', '""Get to work with great staff as well as care for these amazing reisdents!"" (in 18 reviews)', '""Great training that is specific to the job."" (in 15 reviews)', '""Good pay and enjoyed the client i took care of 27/7.lots of skills I learnded also."" (in 14 reviews)']","['""Poor management the people in the office do not care about the clients or their well being nor do they care about the employees."" (in 24 reviews)', '""they communication is great they get done everything that needs to be done."" (in 6 reviews)', '""Upper management does not care about the employees, for them it is about the almighty dollar."" (in 4 reviews)', '""Low wages and other budgetary issues working in non"" (in 4 reviews)', '""This poor leadership is affecting the agencies by continued poor leadership style being passed down."" (in 4 reviews)']"
6,Thor Industries,,
7,Dick's Sporting Goods,"['""It was a good place to work at and the people you work with are great."" (in 530 reviews)', '""Flexible hours and discounts on products"" (in 375 reviews)', '""Great coworkers and fun job"" (in 353 reviews)', '""Fun work environment and flexible"" (in 206 reviews)', '""They had pretty good benefits and they are one of the largest specialty retailers in the world."" (in 196 reviews)']","['""Poor management and a lack of willingness to work with school schedules"" (in 663 reviews)', '""They don\'t promote from within often and low pay compared to other IT jobs in Pittsburgh"" (in 472 reviews)', '""district managers have 0 touch with reality and don’t care about you as a person just what you do for them"" (in 401 reviews)', '""Also had no training on anything so it was learn as you go which is not how a store should be run."" (in 118 reviews)', '""Poor upper management."" (in 104 reviews)']"
8,Newmont,"['""Good benefits and and could be a good place to work once IT management is replaced!"" (in 49 reviews)', '""I worked at their smaller MTF lab and the people there were great."" (in 32 reviews)', '""Pay is good, hours are not terrible"" (in 30 reviews)', '""The salaries are good."" (in 13 reviews)', '""Safety focus and one of the best in the world at safety"" (in 11 reviews)']","['""Depending on work location, long hours and demanding but rewarding work is expected."" (in 12 reviews)', '""Oh and constant layoffs."" (in 11 reviews)', '""A lot of nepotism and bad management"" (in 6 reviews)', '""They layoff the workers and keep the mass of upper management."" (in 4 reviews)', '""That could be a result of the existing executives being extremely poor at running the company."" (in 4 reviews)']"
9,Devon Energy,"['""I get paid very well and the benefits a great!"" (in 75 reviews)', '""Great people and company to work with."" (in 58 reviews)', '""Great pay and OKC is a fun place."" (in 46 reviews)', '""Nice building and that is all."" (in 15 reviews)', '""Great work life balance"" (in 14 reviews)']","['""constant layoffs and cyclical environment"" (in 34 reviews)', '""Micro management"" (in 28 reviews)', '""Lack of vision and leadership"" (in 15 reviews)', '""Some middle and upper management is very old school, thinks they know best without listening to the experts on the ground floor."" (in 9 reviews)', '""complaints don\'t seem to be taken seriously by HR or local manager"" (in 8 reviews)']"
10,Warner Bros. Discovery,"['""The team and the people you work with are great"" (in 205 reviews)', '""Great benefits and company overall"" (in 154 reviews)', '""The work/life balance was great and it was not bureaucratic at all which was refreshing coming from a larger corporate."" (in 53 reviews)', '""The pay is good and it’s easy to get around and figure out and get a lay of the land"" (in 53 reviews)', '""Great culture and a cool workplace."" (in 42 reviews)']","['""Poor management communication."" (in 50 reviews)', '""Long hours and some bureaucracy"" (in 46 reviews)', '""Managers do not personally ask you how your tour went and make assumptions about what happened on your tour"" (in 29 reviews)', '""Low salary specially if you don\'t know anyone."" (in 27 reviews)', '""Most annual reviews were barely covered even though upper management required it"" (in 21 reviews)']"
11,J.B. Hunt Transport Services,"['""Good pay and home time!"" (in 187 reviews)', '""People are Great!!!! and helpful"" (in 139 reviews)', '""Good benefits and 4 day work weeks."" (in 117 reviews)', '""money and culture is great"" (in 63 reviews)', '""Good Work Environment and Good Holiday Cheer."" (in 36 reviews)']","['""Long hours and lots of traffic"" (in 110 reviews)', '""Poor management and workers."" (in 107 reviews)', '""there is No work life balance"" (in 104 reviews)', '""Working long hours when necessary with and without rewards."" (in 48 reviews)', '""Some bad managers making good ones look bad"" (in 47 reviews)']"
