,name,sim_company_1,sim_company_2,sim_company_3,sim_company_4
383,TIAA,Avantor,Alleghany,Ameriprise Financial,American Express
384,TJX,AutoZone,Bath & Body Works,Amazon,Advance Auto Parts
385,Targa Resources,Baker Hughes,Ameren,Bank of America,Apollo Global Management
386,Target,AutoZone,BJ's Wholesale Club,Amazon,Advance Auto Parts
387,Taylor Morrison Home,Beacon Roofing Supply,American Family Insurance Group,Avnet,AECOM
388,Tenet Healthcare,Amgen,AbbVie,AmerisourceBergen,Baxter International
389,Tenneco,3M,AGCO,AutoNation,Ally Financial
390,Tesla,Ally Financial,Advance Auto Parts,Autoliv,Air Products & Chemicals
391,Texas Instruments,Applied Materials,Air Products & Chemicals,Arrow Electronics,AT&T
392,Textron,Ally Financial,Asbury Automotive Group,Baker Hughes,Assurant
393,Thermo Fisher Scientific,Jacobs Engineering Group,AmerisourceBergen,Baker Hughes,Applied Materials
394,Thor Industries,Auto-Owners Insurance,Assurant,Apollo Global Management,American Family Insurance Group
395,Thrivent Financial for,New York Life Insurance,Ameriprise Financial,American Express,Ally Financial
396,Toll Brothers,Beacon Roofing Supply,AECOM,Avis Budget Group,Apollo Global Management
397,Tractor Supply,BJ's Wholesale Club,Bath & Body Works,Advance Auto Parts,Bed Bath & Beyond
398,TravelCenters of America,Bed Bath & Beyond,Advance Auto Parts,AutoNation,BJ's Wholesale Club
399,Truist Financial,Ally Financial,Jefferies Financial Group,Jefferies Financial Group,Bank of America
400,Tyson Foods,Archer Daniels Midland,Air Products & Chemicals,3M,Advanced Micro Devices
401,U.S. Bancorp,Northern Trust,Ameriprise Financial,Jefferies Financial Group,Jefferies Financial Group
402,UFP Industries,Beacon Roofing Supply,Advance Auto Parts,Baker Hughes,Air Products & Chemicals
403,UFP Industries,Beacon Roofing Supply,Advance Auto Parts,Baker Hughes,Air Products & Chemicals
404,UPS,American Airlines Group,Air Products & Chemicals,American Express,Ameriprise Financial
405,US Foods Holding,Bed Bath & Beyond,BJ's Wholesale Club,Albertsons,Archer Daniels Midland
406,Uber Technologies,American Airlines Group,Air Products & Chemicals,Apple,Amazon
407,Uber Technologies,American Airlines Group,Air Products & Chemicals,Apple,Amazon
408,Uber Technologies,American Airlines Group,Air Products & Chemicals,Apple,Amazon
409,Ulta Beauty,Bath & Body Works,Advance Auto Parts,Nordstrom,AutoNation
410,Union Pacific,American Airlines Group,Air Products & Chemicals,Ameren,American Express
411,United Airlines Holdings,American Airlines Group,AT&T,American Express,Avis Budget Group
412,United Natural Foods,Archer Daniels Midland,Aramark,AmerisourceBergen,Amgen
413,United States Steel,Avery Dennison,AltriaGroup,3M,Bank of America
414,UnitedHealth Group,Johnson & Johnson,AbbVie,AmerisourceBergen,Air Products & Chemicals
415,Univar Solutions,Air Products & Chemicals,Ally Financial,Archer Daniels Midland,Arrow Electronics
416,Unum Group,Ameriprise Financial,American Express,Assurant,AIG
417,VF,Bank of America,AmerisourceBergen,AutoZone,Allstate
418,Valero Energy,Baker Hughes,Ameren,AGCO,Jabil
419,Veritiv,Avnet,Bank of New York Mellon,Albertsons,Arrow Electronics
420,Verizon Communications,Altice USA,AT&T,AECOM,Baker Hughes
421,Verizon Communications,Altice USA,AT&T,AECOM,Baker Hughes
422,Vertex Pharmaceuticals,AbbVie,Amgen,AmerisourceBergen,Baxter International
423,Viatris,3M,A-Mark Precious Metals,AECOM,AGCO
424,W.R. Berkley,AIG,Auto-Owners Insurance,American Financial Group,Arthur J. Gallagher
425,W.W. Grainger,Jabil,Archer Daniels Midland,Beacon Roofing Supply,Applied Materials
426,WEC Energy Group,AmerisourceBergen,Ameren,Air Products & Chemicals,AutoZone
427,WESCO International,3M,ON Semiconductor,Applied Materials,Jabil
428,Walgreens Boots Alliance,AmerisourceBergen,Amgen,AbbVie,Aramark
429,Walmart,BJ's Wholesale Club,Albertsons,Advance Auto Parts,AutoNation
430,Walt Disney,Activision Blizzard,Bath & Body Works,Altice USA,American Express
431,Warner Bros. Discovery,Activision Blizzard,Adobe,Amazon,Altice USA
432,Wayfair,Bed Bath & Beyond,BJ's Wholesale Club,Advance Auto Parts,AutoNation
433,Wells Fargo,American Express,Bank of America,Allstate,Bank of New York Mellon
434,WestRock,Bank of America,Advance Auto Parts,AutoZone,3M
435,Western Digital,Jabil,Arrow Electronics,Adobe,Avnet
436,Western and Southen Financial Group,American Financial Group,American Family Insurance Group,AIG,Arthur J. Gallagher
437,Westinghouse Air Break Technologies,Jabil,3M,Applied Materials,AGCO
438,Weyerhaeuser,Auto-Owners Insurance,Bank of America,AT&T,American Family Insurance Group
439,Whirlpool,Newell Brands,Jabil,Apple,3M
440,Williams-Sonoma,3M,A-Mark Precious Metals,AECOM,AGCO
441,XPO Logistics,Automatic Data Processing,AECOM,Allstate,Bank of America
442,XPO Logistics,3M,A-Mark Precious Metals,AECOM,AGCO
443,Xcel Energy,Ameren,Baker Hughes,Air Products & Chemicals,AECOM
444,Xerox Holdings,Arrow Electronics,Avnet,Apple,Baker Hughes
445,Xerox Holdings,Arrow Electronics,Avnet,Apple,Baker Hughes
446,Xerox Holdings,Arrow Electronics,Avnet,Apple,Baker Hughes
447,Yum Brands,Archer Daniels Midland,Aramark,American Airlines Group,Bank of America
448,Yum China Holdings,3M,A-Mark Precious Metals,AECOM,AGCO
449,Zimmer Biomet Holdings,Amgen,Johnson & Johnson,3M,AbbVie
450,Zoetis,AbbVie,AmerisourceBergen,Amgen,Aramark
451,eBay,Amazon,AutoZone,Advance Auto Parts,AutoNation
