,name,sim_company_1,sim_company_2,sim_company_3,sim_company_4
105,Cisco Systems,Altice USA,Apple,Jabil,Arrow Electronics
106,Citigroup,Jefferies Financial Group,Jefferies Financial Group,Ameriprise Financial,Bank of America
107,Cleveland-Cliffs,Avantor,Alleghany,Autoliv,AutoZone
108,Clorox,Baxter International,Baxter International,Avery Dennison,AltriaGroup
109,Coca-Cola,3M,A-Mark Precious Metals,AECOM,AGCO
110,Coinbase Global,3M,A-Mark Precious Metals,AECOM,AGCO
111,Colgate-Palmolive,Bath & Body Works,Aramark,Amgen,AmerisourceBergen
112,Comcast,3M,A-Mark Precious Metals,AECOM,AGCO
113,CommScope Holding,3M,A-Mark Precious Metals,AECOM,AGCO
114,Conagra Brands,Aramark,Archer Daniels Midland,Air Products & Chemicals,3M
115,ConocoPhillips,Avantor,Baker Hughes,Ameren,Alleghany
116,Consolidated Edison,Baker Hughes,Ameren,Air Products & Chemicals,AECOM
117,Constellation Brands,AGCO,AltriaGroup,Applied Materials,Amgen
118,Corning,3M,A-Mark Precious Metals,AECOM,AGCO
119,Corteva,3M,A-Mark Precious Metals,AECOM,AGCO
120,Costco Wholesale,BJ's Wholesale Club,Bed Bath & Beyond,Advance Auto Parts,Amazon
121,CrownHoldings,AGCO,Applied Materials,Avery Dennison,3M
122,CrownHoldings,AGCO,Applied Materials,Avery Dennison,3M
123,Cummins,3M,AGCO,Autoliv,AutoNation
124,D.R. Horton,Ally Financial,Allstate,Avis Budget Group,Bank of America
125,DCP Midstream,Ameren,Baker Hughes,Air Products & Chemicals,AECOM
126,DISH Network,AT&T,Arrow Electronics,Altice USA,Apple
127,DTEEnergy,Public Service Enterprise Group,Baker Hughes,Ameren,Air Products & Chemicals
128,DXC Technology,American Family Insurance Group,AIG,Auto-Owners Insurance,Ameriprise Financial
129,DaVita,Air Products & Chemicals,Arthur J. Gallagher,Advance Auto Parts,Altice USA
130,Danaher,AbbVie,Baxter International,Amgen,AmerisourceBergen
131,Deere,Beacon Roofing Supply,AGCO,3M,Applied Materials
132,Delek US Holdings,Baker Hughes,Ameren,Bank of America,AutoZone
133,Dell Technologies,Baker Hughes,Assurant,AECOM,Adobe
134,Dell Technologies,Baker Hughes,Assurant,AECOM,Adobe
135,Dell Technologies,Baker Hughes,Assurant,AECOM,Adobe
136,Delta Air Lines,American Airlines Group,Air Products & Chemicals,Avis Budget Group,Bank of America
137,Devon Energy,Baker Hughes,Ameren,Air Products & Chemicals,AECOM
138,Diamondback Energy,Apollo Global Management,American Financial Group,American Tower,Ameren
139,Dick's Sporting Goods,AutoZone,Amazon,Bed Bath & Beyond,Academy Sports and Outdoors
140,Dillard's,Bed Bath & Beyond,BJ's Wholesale Club,Advance Auto Parts,AutoZone
141,Dollar General,BJ's Wholesale Club,Amazon,Bath & Body Works,AutoZone
142,Dollar Tree,BJ's Wholesale Club,Albertsons,Advance Auto Parts,Amazon
143,Dominion Energy,Baker Hughes,Automatic Data Processing,Air Products & Chemicals,Bank of America
144,Dow,AGCO,3M,Applied Materials,Amgen
145,DuPont,AGCO,3M,Autoliv,Arrow Electronics
146,Duke Energy,Baker Hughes,Ameren,Jabil,AT&T
147,EOG Resources,Bank of America,Automatic Data Processing,Ameren,AutoNation
148,Eastman Chemical,Amgen,Applied Materials,AbbVie,3M
149,Ecolab,Baker Hughes,AECOM,Assurant,Albertsons
150,Edison International,Baker Hughes,Ameren,AECOM,Avnet
151,Edison International,Baker Hughes,Ameren,AECOM,Avnet
152,Edison International,Baker Hughes,Ameren,AECOM,Avnet
153,Elevance Health,Johnson & Johnson,Bank of New York Mellon,Air Products & Chemicals,Amgen
154,EliLilly,AbbVie,Amgen,AmerisourceBergen,Baxter International
155,Emerson Electric,Applied Materials,Jabil,Avnet,Arrow Electronics
156,EnLink Midstream,Baker Hughes,Ameren,Asbury Automotive Group,Air Products & Chemicals
157,Equitable Holdings,American Financial Group,American Family Insurance Group,Arthur J. Gallagher,AIG
158,Erie Insurance Group,AIG,American Financial Group,Allstate,American Family Insurance Group
159,Estée Lauder,Newell Brands,3M,Jabil,AGCO
160,Eversource Energy,3M,A-Mark Precious Metals,AECOM,AGCO
161,Expeditors Intl. of Washington,American Airlines Group,Air Products & Chemicals,Assurant,American Family Insurance Group
162,Exxon Mobil,Baker Hughes,Ameren,Air Products & Chemicals,AECOM
163,FMGlobal,Arthur J. Gallagher,Assurant,Ally Financial,Ameriprise Financial
164,Fannie Mae,Ally Financial,American Express,Ameriprise Financial,Bank of America
165,Farmers Insurance Exchange,Auto-Owners Insurance,Arthur J. Gallagher,Assurant,Ally Financial
166,FedEx,BJ's Wholesale Club,Bank of New York Mellon,Arrow Electronics,Albertsons
167,Fidelity National Financial,American Financial Group,AIG,American Family Insurance Group,Allstate
168,"Fidelity National Information
Services",American Express,Assurant,Bank of America,Automatic Data Processing
169,Fifth Third Bancorp,Ally Financial,Bank of America,Bank of New York Mellon,Allstate
170,First American Financial,AIG,American Financial Group,American Family Insurance Group,Allstate
171,Fiserv,Bank of America,AIG,American Express,AECOM
172,Fluor,AECOM,Beacon Roofing Supply,Jacobs Engineering Group,Aramark
173,Foot Locker,Bed Bath & Beyond,Advance Auto Parts,AutoNation,AutoZone
174,Ford Motor,American Airlines Group,AutoNation,3M,Ally Financial
175,Fortune Brands Home & Security,Assurant,Avery Dennison,Ally Financial,American Financial Group
176,Fox,3M,A-Mark Precious Metals,AECOM,AGCO
177,Franklin Resources,Northern Trust,Arthur J. Gallagher,Ameriprise Financial,Bank of America
178,Freeport-McMoRan,Bank of America,Aramark,AmerisourceBergen,Advance Auto Parts
179,Frontier Communications,AT&T,Arrow Electronics,Altice USA,Bank of America
180,Frontier Communications,AT&T,Arrow Electronics,Altice USA,Bank of America
181,GXO Logistics,Avnet,Albertsons,Arrow Electronics,Activision Blizzard
182,GXO Logistics,3M,A-Mark Precious Metals,AECOM,AGCO
183,Gap,Bed Bath & Beyond,BJ's Wholesale Club,Advance Auto Parts,AutoNation
184,General Dynamics,Ally Financial,Arthur J. Gallagher,Baker Hughes,American Financial Group
185,General Electric,NRG Energy,Jabil,Applied Materials,3M
186,General Mills,3M,Applied Materials,AGCO,Amgen
187,General Mills,3M,Applied Materials,AGCO,Amgen
188,General Motors,AutoNation,3M,American Airlines Group,Ally Financial
189,General Motors,AutoNation,3M,American Airlines Group,Ally Financial
190,Genworth Financial,American Express,Ameriprise Financial,Bank of America,Ally Financial
191,Gilead Sciences,Amgen,AbbVie,AmerisourceBergen,Johnson & Johnson
